Gene
A2M-AS1
AKR1C3
BCL10
CD47
CFLAR
CTTN
DACH1
DCAF7
EDNRB
FTX
GLS
HAND2-AS1
HNRNPD
HSDL2
IGF2BP3
IL2RB
KDM4C
KMT2A
KRIT1
METTL3
NFATC3
NR3C1
NRG1
PANX1
PARP15
PDCD5
PDK4
PRKAG2
PTPN18
RBM5
SAMHD1
SERPINB9
SNAI3-AS1
STEAP1
THBS1
TUG1
USP22
YME1L1
